Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_AUROC,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUROC,Test_MCC,Training_Time,F1_Diff,Acc_Diff
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9992641648270787,0.9996899224806203,0.9984051036682615,0.9990455285841127,1.0,0.9978891989895898,0.14083623886108398,0.0009544714158873369,0.0007358351729213064
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0234436988830566,0.0,0.0
Logistic Regression,0.8263428991905813,0.6718172417358933,0.8849818214064024,0.717716142575738,0.9585250832671001,0.6602569936682812,0.8248712288447387,0.6578477768634601,0.8547701359374397,0.7065678730365899,0.9490181976401416,0.6466419718147023,2.2052412033081055,0.011148269539148159,0.0014716703458426128
SVM,0.7682119205298014,0.6103398718343437,0.8079329608938548,0.6519846601192105,0.9321731597043019,0.5450783819363162,0.7652685798381162,0.5923669774262909,0.7530821297360552,0.632341123089197,0.9193297726157977,0.5147271826175565,6.2668373584747314,0.019643537030013536,0.0029433406916851146
MLP,0.9455481972038263,0.8835468496018954,0.8627312228429548,0.8726985932755623,0.9887798183146949,0.840836386874689,0.9337748344370861,0.8856284153005465,0.8252185186175188,0.8522357533391185,0.9830536511774497,0.804236908365459,2.515200614929199,0.020462839936443822,0.011773362766740236
KNN,0.8263428991905813,0.6197831978319783,0.4640720049658597,0.4846869438883328,0.7614386312555311,0.3948215780967277,0.8101545253863135,0.5369617549061808,0.4408440476508692,0.4559308964128241,0.7528326005987945,0.3246092411356825,0.0010063648223876953,0.028756047475508695,0.016188373804267853
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0047149658203125,0.0,0.0
Naive Bayes,0.8535688005886681,0.7102668836539805,0.7583169282610623,0.6568461306526415,0.9712317680038899,0.6523827441523217,0.8344370860927153,0.6813129709531013,0.7459882565733786,0.6363285272334672,0.9615611314857923,0.6204218173430364,0.0025060176849365234,0.020517603419174302,0.019131714495952856
Extra Trees,0.6651949963208241,0.5574355568252759,0.7390068280571075,0.561887062382921,0.8926715289286319,0.4484688875852146,0.6629874908020603,0.5459511791870612,0.7185364375896572,0.5529561030344675,0.8753531098551536,0.43188235721947615,0.10912442207336426,0.008930959348453449,0.002207505518763808
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3197295665740967,0.0,0.0
